,artist,title,album,text
30,Sezen Aksu,Bile Bile,Yürüyorum Düş Bahçeleri'nde,"Bir arada olabilmek ne mümkün Bir arada kalabilmek İmkansız Seneler alıp gitmiş Ne var ne yoksa her şeyi  İnanılmaz değişen ben miyim İnanılmaz bu yabancı da kim Sen misin böyle uzak Veda sözleri söyleyen  Geri dönmek inan işten değil Hani var ya tutamazsın kendini Bir ümitle ya olursa dersin hep Bile bile herşeyin bittiğini  Sonradan kor,sonradan kor Ayrılıklar an be an Akıp gider zaman sana aldırmadan...   "
31,Sezen Aksu,Biliyorsun,Ağlamak Güzeldir,Hayat bazen öyle insafsız ki Küçük bir boşluğundan yakalar Hissettirmez en zayıf anında Seni ta yüreğinden yaralar  Ellerin kolların bağlansa da Başında kasırgalar kopsa da Sen tüm gücünle karşı koysan da Seni acımasız sevdaya salar  Sen de benim kadar gerçekleri görüyorsun Beraber olamayız benim gibi biliyorsun Bir başka dünyanın insanısın yavrucağım Sen kendi dünyanın toprağında büyüyorsun      
32,Sezen Aksu,Bir Acı Kahvenin,Sevgilerimle (1980),Gün olur da bir dost ararsan eğer Açıktır kapım sana çekinmeden gel Sözlerimde inan ne sitem Ne de kırgınlık bulamazsın Bir gün yolun düşerse eğer Beni bıraktığın gün gibi Yine dost bulacaksın  Gün olur da bir dost ararsan eğer Ne olursa olsun geçen zaman da Sanki bir şey olmamış gibi karşılarım Seni yılların özlemiyle kucaklarım  Bir acı kahvenin kırk yıl Hatırı vardır derler     
33,Sezen Aksu,Bir Başka Aşk,Sen Ağlama (1984),İçimde tüm umutlar bir bir yitip gidiyorken  Hayatı sırça bir köşk gibi diye tanıyordun  Daha sen bebektin bir tanem  Her aşkta biraz daha büyüyordun  Ve bir anda  Bir başka aşkla alev alev  Tutuşup ta birden yeni baştan oldun   Kendi canından  İçimde kavga eden senler  Bir bir karışıyor  Ömrüme senden de önemli  Bir şey karışıyor   Daha dün bebektin bir tanem  Kendini her şey sanıyordun  Ve bir anda  Bir başka aşkla alev alev  Tutuşup ta birden  Yeni baştan oldun   
34,Sezen Aksu,Bir Çocuk Doğdu,Bahane,"Bir yerlerde bir çocuk doğdu Sancısını içimde duyuyorum Kim bilir kimin çocuğusun Gözlerinde güneşi görüyorum  Bir yerlerde bir çocuk doğdu Sancısını içimde duyuyorum Kim bilir kimin çocuğusun Gözlerinde güneşi görüyorum  Gözlerinde hayat pırıl pırıl Ellerinde ümitlerimiz var Dünyanın tüm pisliklerine Sıkılmış o minik yumruklar  Dünyanın tüm pisliklerine Sıkılmış o minicik yumruklar  Güzel bebek buram buram İnsan, sevgi kokuyorsun Bir küçük dünya gibi varlığın  Sırtında dünyayı taşıyorsun  Güzel bebek buram buram İnsan, sevgi kokuyorsun Bir küçük dünya gibi varlığın Sırtında dünyayı taşıyorsun     "
35,Sezen Aksu,Bir Çocuk Sevdim,Sezen Aksu'88 (1988),Bir çocuk gördüm uzaklarda Gözleri kederli hatta korkulu Her şeye rağmen bir an gülümsedi çocuk Sıcak sade ama biraz kuşkulu  Bir çocuk sevdim uzaklarda Sanıyordum ki onun özlemi de buydu O ise bir bakışta beni örtülerimden Yalnızca yalnızca duygularıyla soydu  Ben böyle yürek görmedim böyle sevgi Şimdi çocuk büyümekte günbegün Bütün hüzünleri okşadı birer birer Gizli bir ümide sarılarak biraz küskün  Ben böyle yürek görmedim böyle sevgi Şimdi çocuk büyümekte günbegün Bütün hüzünleri okşadı birer birer Gizli bir ümide sarılarak biraz küskün  Bir çocuk gördüm uzaklarda Biraz çocuk biraz adam biraz hiçti Ellerinde yaşlı zaman demetleri     
36,Sezen Aksu,Bir Kış Masalı,Allahaısmarladık,"Bir su damlası ürperir tenimde Bir temas hatırlarım ta eskiden Gözlerimi unuttum masallarda Ağlayamam ki ben Su gibi çırıl çıplak ve aydınlık Saz gibi durdum şiddetin önünde Sevgiyi bilmiyorlar bilmiyorlar Söyleyemem ki ben Yabanım sevgilim esmerim sebebim Bir gün bir kış masalında sevip yitirdiğim Şimdi artık korkular şarkılar mırıldanan Öpüşünle yaralı bir kız çocuğuyum ben Her sözüm mühürlenmiş kilitlenmiş Bin öpücükten bin dokunuştan Duysam da,canımın çığlığını Susturamam ki ben...   "
37,Sezen Aksu,Bir Kuş Uçur,Sezen Aksu'88 (1988),Hep karanlık hep karanlık Yeter artık yeter Bir avuç kar beyazı Bir adım yol bana Bir nefes ver Bir fısılda  Hep karanlık hep karanlık Yeter artık yeter Bir avuç kar beyazı Bir adım yol bana Bir nefes ver Bir fısılda  Dağlar duvar olsa önüme Yollar kördüğüm düğümlense Dönmem gözümü dağlasalar İpe götürseler bir kuş uçur yeter  Dağlar duvar olsa önüme Yollar kördüğüm düğümlense Dönmem gözümü dağlasalar İpe götürseler sen bir çağır yeter  Bir küçük pencere Bir aydınlık bana  Hep karanlık hep karanlık Yeter artık yeter     
38,Sezen Aksu,Bir Zamanlar Deli Gönlüm,Firuze,Ele avuca sığmazdı deli gönlüm Bir zamanlar nerdeydi şimdi nerde İster güneş ol yak beni  Yağmurum ol ağlat beni  Aklım başka  Duygularım başka yerde Bir deli rüzgar savurdu Beni böyle umutlu tutsak Benim altın kafeste  İster güneş ol yak beni  Yağmurum ol ağlat beni Zincirleri yüreğimin artık sende     
39,Sezen Aksu,Bu Gece,Sen Ağlama (1984),"Al beni, götür kanatlarında bu gece Uçurup diyar diyar sev beni sevilmediğim kadar Unuttur yalnız yaşadığım her geceyi öyle gel  Gör beni, bulup karanlıklarda sar biraz Ki doğmasın sabahlar, al sevgim hiç vermediğim kadar Unuttur yalnız yaşadığım her geceyi öyle gel, gel  Sev, iste yeminler ederim aşka Belki bir daha hiç tutulmazlar İnanmasan bile gel, inandığım ne var ne yoksa Hiç vermediğim kadar      "
40,Sezen Aksu,Büklüm Büklüm,Yürüyorum Düş Bahçeleri'nde,"ne söylesen ne beklesen yaradandan ya da kaderinden ele gecmez istedigin ugruna savas vermediysen  sanki seni bogar gibi sanki yeniden dogar gibi sanki zaman zaman ölür gibi acısını, çilesini çekmediysen  hani büklüm büklüm boynunda hani paramparça ruhunda hani soran gözlerle kapında bekleyen dargın anıların gibi  "
41,Sezen Aksu,Canımsın Sen,yasada2834,"Adın başka, tadın başka Sığmıyorsun ele avuca Delisin sen  Dilerim ki benle yaşa Bildiklerin ezber değil Yenisin sen  Boşuna mı yaprak gibi Rüzgârına kapıldım ben Unutup kendimi Bir divaneye takıldım ben  Ayağı eşikten dışarıda Git gidersen Bu gönül senden çoktan razı Nasıl istersen  Delip geçen gözlerinle Söylenmemiş sözlerinle Sırsın sen  Hiç oyunsuz, sorunsuz Ne bir eksik, ne bir fazla Canımsın sen     "
